id,name,lat,lon,subway,suburban
895228,"Loher Straße, Hamburg",53.593966,10.144974,False,False
895258,"Griegstraße, Hamburg",53.554387,9.909807,False,False
895287,"Harburg Rathaus (Eißendorfer Straße) (S), Hamburg",53.460503,9.976786,False,True
895289,"Harburg Rathaus (Hölertwiete) (S), Hamburg",53.461393,9.982,False,True
895696,"Liebezeitstraße, Hamburg",53.5428,10.118708,False,False
895834,"Celsiusweg, Hamburg",53.560059,9.920271,False,False
895876,"Inselpark, Hamburg",53.496865,10.006226,False,False
896040,"Iversstraße, Hamburg",53.581732,10.093637,False,False
113090,"Arnswalder Straße, Hamburg",53.613671,10.151464,False,False
122052,"Strietkoppel, Hamburg",53.528579,10.153801,False,False
211075,"Lisbeth-Bruhn-Straße, Hamburg",53.485332,10.17293,False,False
370984,"Moorfleeter Deich 427, Hamburg",53.487606,10.094922,False,False
371857,"Moorfleeter Brückenstraße, Hamburg",53.501072,10.081178,False,False
692052,"Leunastraße, Hamburg",53.565461,9.9257,False,False
692315,"Niendorf Nord, Hamburg",53.641097,9.949971,True,False
692341,"Fuhlsbütteler Weg, Hamburg",53.6223,9.954807,False,False
692376,"Sengelmannstraße (U), Hamburg",53.608906,10.022047,True,False
692377,"Im Grünen Grunde, Hamburg",53.623055,10.031521,False,False
692382,"Dakarweg, Hamburg",53.602785,10.025301,False,False
692398,"Lattenkampstieg, Hamburg",53.597508,9.996967,False,False
692415,"Lattenkamp (Sporthalle), Hamburg",53.599899,9.994674,True,False
692483,"Winsberg (Süd), Hamburg",53.57446,9.917592,False,False
692491,"Basselweg, Hamburg",53.587404,9.93193,False,False
692601,"Fangdieckstraße, Hamburg",53.601346,9.889546,False,False
692607,"Stadionstraße, Hamburg",53.580518,9.884476,False,False
692687,"Röpers Weide, Hamburg",53.557272,9.89297,False,False
692688,"Susettestraße, Hamburg",53.546458,9.925341,False,False
692726,"Kreuzfahrtterminal Altona, Hamburg",53.544193,9.936397,False,False
692731,"Böcklinstraße, Hamburg",53.562971,9.887127,False,False
692733,"Emkendorfstraße, Hamburg",53.555609,9.890651,False,False
692734,"Klein Flottbek (S), Hamburg",53.558432,9.861562,False,True
692745,"Fischers Allee, Hamburg",53.548211,9.922194,False,False
692897,"Ohlsdorf Hauptfriedhof Haupteingang, Hamburg",53.620547,10.034353,False,False
692972,"Hellbrookkamp, Hamburg",53.597616,10.060583,False,False
693046,"Berne, Hamburg",53.626912,10.139751,True,False
693092,"Sieker Landstraße, Hamburg",53.605688,10.167384,False,False
693130,"Scharbeutzer Straße, Hamburg",53.599827,10.131418,False,False
693151,"Am Stadtrand, Hamburg",53.588887,10.098868,False,False
693157,"Voßkulen, Hamburg",53.594164,10.086104,False,False
693182,"Rübezahlstraße, Hamburg",53.564275,10.120685,False,False
693191,"Kuehnstraße, Hamburg",53.582244,10.126555,False,False
693210,"Liegnitzer Straße, Hamburg",53.580186,10.137657,False,False
693220,"Berzeliusstraße 42, Hamburg",53.534601,10.09467,False,False
693231,"Friedhof Öjendorf (Haupteingang), Hamburg",53.55729,10.121863,False,False
693270,"Dannerallee, Hamburg",53.559043,10.10864,False,False
693355,"Georgswerder Damm, Hamburg",53.526727,10.026415,False,False
693390,"Argentinienbrücke, Hamburg",53.52821,9.976085,False,False
693525,"Dratelnstraße, Hamburg",53.498501,9.999681,False,False
693549,"Schöpfwerk Neuland, Hamburg",53.469169,10.00076,False,False
693557,"Großmoordamm 181, Hamburg",53.448799,10.017714,False,False
693650,"Freizeitbad MidSommerland, Hamburg",53.447748,9.980903,False,False
693657,"Mensingstraße, Hamburg",53.442732,9.996985,False,False
693684,"Am Frankenberg, Hamburg",53.436358,9.985514,False,False
693845,"Kanalplatz, Hamburg",53.466553,9.984121,False,False
694384,"Hoffmann-von-Fallersleben-Straße, Hamburg",53.481961,10.229967,False,False
694420,"Höperfeld, Hamburg",53.495867,10.199125,False,False
694424,"Lohbrügger Weg, Hamburg",53.501584,10.205723,False,False
694427,"Bornmühlenweg, Hamburg",53.499355,10.210541,False,False
694575,"Fiddigshagen, Hamburg",53.479075,10.197525,False,False
694636,"An der Bergkoppel, Hamburg",53.500667,10.198792,False,False
694678,"Margit-Zinke-Straße (Nord), Hamburg",53.488792,10.166036,False,False
694680,"Karl-Rüther-Stieg, Hamburg",53.489673,10.153343,False,False
694686,"Von-Scheliha-Straße, Hamburg",53.485448,10.162782,False,False
694688,"Hermann-Wüsthof-Ring (Ost), Hamburg",53.493287,10.111202,False,False
694702,"Billwerder Billdeich (Ost), Hamburg",53.4962,10.179816,False,False
694709,"Allermöher Kirche, Hamburg",53.482158,10.129306,False,False
694717,"Rungedamm (Nord), Hamburg",53.499669,10.105583,False,False
694725,"Billwerder Billdeich (West), Hamburg",53.523086,10.113089,False,False
694762,"Fasanengrund, Hamburg",53.480127,10.076009,False,False
694775,"Halskestraße (Mitte), Hamburg",53.520461,10.084468,False,False
701191,"Max-Tau-Straße, Hamburg",53.592267,9.951086,False,False
701200,"Arningstraße (Fähre), Hamburg",53.537145,9.984571,False,False
702209,"Mattkamp, Hamburg",53.54582,10.126474,False,False
895167,"Klein Borstel, Hamburg",53.62826,10.03322,True,False
895342,"Reimboldweg, Hamburg",53.482653,10.227288,False,False
895564,"Hamburger Kamp, Oststeinbek",53.54226,10.157002,False,False
895862,"Rispengrasweg, Hamburg",53.560859,10.126636,False,False
895949,"Breitenfelder Straße, Hamburg",53.587134,9.975491,False,False
895998,"Archenholzstraße (Ost), Hamburg",53.544633,10.125494,False,False
8002873,Hamburg Hochkamp,53.561326,9.842208,False,True
8003410,Hamburg Kornweg(Klein Borstel),53.632305,10.053662,False,True
113088,"Stoppelfeld, Hamburg",53.612133,10.147572,False,False
123085,"Am Schilfpark, Hamburg",53.479758,10.204635,False,False
219029,"Hafenmuseum, Hamburg",53.525163,10.000077,False,False
222053,"Am Mühlenbach, Hamburg",53.531006,10.15435,False,False
367958,"Vorhornweg, Hamburg",53.592492,9.881761,False,False
371571,"Hamburger Straße, Ahrensburg",53.671238,10.235972,False,False
374483,"Moorfleeter Deich 380, Hamburg",53.492199,10.092297,False,False
692055,"Bullenkoppel, Hamburg",53.595288,10.09147,False,False
