thingID,description,coordinatesX,coordinatesY,resultHour,average_res
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,21,4.5354944212533495
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,22,4.717022972067615
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,23,4.8294142960214375
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,0,4.9477214749536165
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,1,5.019380024737166
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,2,5.07010442059681
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,3,5.067308275478356
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,4,5.036628401360544
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,5,4.826687925170067
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,6,4.4269118802824154
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,7,4.055846925891567
22,StadtRad-Station Innocentiapark / Oberstraße,9.98211,53.577248,8,3.8416301406926414
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,9,6.726792520592699
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,10,6.502625554009483
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,11,6.2489019016697585
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,12,6.081472022521126
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,13,5.962411777210885
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,14,6.0311450925067005
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,15,6.168368538703361
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,16,6.477463506235832
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,17,6.900016845753454
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,18,7.09951147314987
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,19,7.248612528344677
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,20,7.374519074675326
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,21,7.436386730828695
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,22,7.392181992115027
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,23,7.359236562049063
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,0,7.4089420995671
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,1,7.536730474386725
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,2,7.579970248591555
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,3,7.587424107504249
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,4,7.5455045995671
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,5,7.3786523397237715
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,6,7.145490169552669
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,7,6.968608018965166
25,StadtRad-Station U Wartenau / Lübecker Straße,10.0341,53.5636,8,6.8456333101422375
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,9,7.309487123046446
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,10,7.129561011904763
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,11,6.9612147302102665
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,12,6.88105927215537
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,13,6.842053239419308
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,14,7.077748456900246
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,15,7.304480251890965
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,16,7.658353003643182
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,17,7.835843888254601
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,18,7.871059339965588
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,19,7.790208516681736
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,20,7.573373231431272
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,21,7.31656809460381
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,22,7.053326881451881
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,23,6.82292947627769
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,0,6.749895404694514
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,1,6.713472695459305
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,2,6.710989279297249
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,3,6.669743539333923
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,4,6.7917043422847
